OUI,Vendor
00000C,Cisco Systems
000142,Cisco Systems
00055D,D-Link Systems
00095B,Netgear
001132,Synology
001422,Dell
001A11,Google
001C42,Parallels
002170,Dell
002590,Supermicro
005056,VMware
000C29,VMware
000569,VMware
080027,Oracle VirtualBox
3CD92B,Hewlett Packard
408D5C,Apple
482C6A,Apple
54EE75,Wistron InfoComm
708BCD,Intel
7483C2,Apple
B827EB,Raspberry Pi Foundation
DCA632,Raspberry Pi Foundation
E45F01,Raspberry Pi Foundation
F8CAB8,Intel
FCFBFB,Intel
00155D,Microsoft (Hyper-V)
0003FF,Microsoft
525400,QEMU Virtual NIC
00163E,Xen
000F53,Linksys
001E58,Linksys
002129,Linksys
00223F,Netgear
0026F2,Netgear
00180A,Cisco Linksys
000A19,Cisco Linksys
0024A5,Broadcom
001018,Broadcom
001BE9,Broadcom
000E35,Intel
001302,Intel
001B21,ASUSTek Computer
001E8C,ASUSTek Computer
107B44,ASUSTek Computer
00E04C,Realtek Semiconductor
00E04F,Realtek Semiconductor
525400,QEMU
